Rang,Etablissement,Commune,Note,Filière,Texte
3,Ozenne,Toulouse,"14,8",ECT,"Cet établissement public a présenté 26 candidats en ECT en 2023. Leur moyenne au bac est estimée à 15,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Essec : 1
	- ESCP : 1
	- Edhec : 1
	- EM Lyon : 3
	- Skema : 3
	- Audencia : 4
	- Neoma : 4
	- Grenoble EM : 1
	- Kedge : 3
	- TBS Education : 3
	- IMT BS : 1
	- Excelia : 1"
4,Claude Bernard,Villefranche-sur-Saône,"14,5",ECT,"Cet établissement public a présenté 17 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Essec : 2
	- EM Lyon : 4
	- Neoma : 3
	- Grenoble EM : 3
	- TBS Education : 1
	- Montpellier BS : 1
	- Burgundy SB : 2"
5,Le Rebours,Paris 13e,"14,3",ECT,"Cet établissement privé a présenté 20 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 1
	- ESCP : 2
	- Edhec : 1
	- Skema : 3
	- Grenoble EM : 1
	- Kedge : 1
	- TBS Education : 8
	- Rennes SB : 2"
6,Turgot,Paris 3e,"13,9",ECT,"Cet établissement public a présenté 27 candidats en ECT en 2023. Leur moyenne au bac est estimée à 15,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 2
	- Essec : 3
	- Skema : 3
	- Neoma : 3
	- Grenoble EM : 2
	- Rennes SB : 4
	- Montpellier BS : 2
	- ICN : 4"
7,La Salle,Rennes,"13,8",ECT,"Cet établissement privé a présenté 16 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- EM Lyon : 3
	- Skema : 1
	- Audencia : 3
	- Neoma : 1
	- Kedge : 2
	- TBS Education : 3
	- Rennes SB : 2
	- Excelia : 1"
8,Chevrollier,Angers,"13,7",ECT,"Cet établissement public a présenté 33 candidats en ECT en 2023. Leur moyenne au bac est estimée à 15,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESCP : 2
	- Edhec : 1
	- EM Lyon : 2
	- Skema : 3
	- Audencia : 3
	- Neoma : 5
	- Grenoble EM : 1
	- Kedge : 6
	- TBS Education : 2
	- Rennes SB : 1
	- Montpellier BS : 1
	- Excelia : 1
	- EM Strasbourg : 2
	- EM Normandie : 1"
8,ENC Bessières,Paris 17e,"13,7",ECT,"Cet établissement public a présenté 30 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESCP : 2
	- Edhec : 1
	- EM Lyon : 4
	- Skema : 1
	- Audencia : 3
	- Neoma : 1
	- Grenoble EM : 3
	- Kedge : 6
	- TBS Education : 1
	- ICN : 4"
8,Henri Moissan,Meaux,"13,7",ECT,"Cet établissement public a présenté 23 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Essec : 1
	- ESCP : 4
	- Edhec : 1
	- Audencia : 1
	- Neoma : 2
	- Grenoble EM : 2
	- TBS Education : 1
	- Rennes SB : 1
	- Montpellier BS : 2
	- ICN : 3"
8,Jules Guesde,Montpellier,"13,7",ECT,"Cet établissement public a présenté 36 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 1
	- Essec : 1
	- ESCP : 2
	- Edhec : 1
	- EM Lyon : 3
	- Skema : 3
	- Audencia : 3
	- Neoma : 1
	- Grenoble EM : 3
	- Kedge : 2
	- TBS Education : 2
	- Montpellier BS : 7
	- Burgundy SB : 3
	- IMT BS : 2"
12,Alfred Kastler,Cergy,"13,6",ECT,"Cet établissement public a présenté 23 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 1
	- Essec : 2
	- ESCP : 2
	- Edhec : 1
	- Audencia : 1
	- Grenoble EM : 1
	- Kedge : 2
	- TBS Education : 1
	- Montpellier BS : 1
	- Burgundy SB : 2
	- ICN : 5
	- EM Strasbourg : 1"
13,Gaston Berger,Lille,"12,8",ECT,"Cet établissement public a présenté 26 candidats en ECT en 2023. Leur moyenne au bac est estimée à 15 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESCP : 1
	- Edhec : 1
	- Skema : 1
	- Neoma : 2
	- Grenoble EM : 7
	- Kedge : 5
	- Montpellier BS : 3
	- ICN : 1
	- EM Normandie : 1"
14,Jean Perrin,Marseille 10e,"12,7",ECT,"Cet établissement public a présenté 35 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- HEC : 1
	- ESCP : 2
	- Edhec : 1
	- EM Lyon : 1
	- Audencia : 1
	- Neoma : 2
	- Grenoble EM : 3
	- Kedge : 3
	- TBS Education : 4
	- Rennes SB : 2
	- Montpellier BS : 7
	- Burgundy SB : 3
	- ICN : 1
	- Inseec : 1"
14,Sidoine Apollinaire,Clermont-Ferrand,"12,7",ECT,"Cet établissement public a présenté 13 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Skema : 2
	- Neoma : 2
	- Grenoble EM : 1
	- Kedge : 2
	- TBS Education : 3
	- Montpellier BS : 3"
16,Condorcet,Saint-Priest,"12,4",ECT,"Cet établissement public a présenté 17 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Edhec : 1
	- Audencia : 1
	- Neoma : 1
	- Grenoble EM : 5
	- Kedge : 1
	- TBS Education : 1
	- Montpellier BS : 1
	- Burgundy SB : 4
	- ICN : 1
	- Excelia : 1"
16,Voltaire,Orléans,"12,4",ECT,"Cet établissement public a présenté 23 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- EM Lyon : 2
	- Skema : 1
	- Audencia : 2
	- Neoma : 2
	- Grenoble EM : 2
	- Kedge : 1
	- TBS Education : 1
	- Rennes SB : 3
	- Montpellier BS : 2
	- Burgundy SB : 2
	- ICN : 2
	- ISC : 1"
18,Nicolas Brémontier,Bordeaux,"12,2",ECT,"Cet établissement public a présenté 17 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Essec : 1
	- ESCP : 1
	- Skema : 2
	- Audencia : 1
	- Montpellier BS : 3
	- Burgundy SB : 5
	- ICN : 2
	- Excelia : 1"
19,Salvador Allende,Hérouville-Saint-Clair,"12,1",ECT,"Cet établissement public a présenté 25 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Edhec : 2
	- Skema : 1
	- Audencia : 1
	- Neoma : 5
	- TBS Education : 1
	- Montpellier BS : 3
	- Burgundy SB : 2
	- Excelia : 2
	- EM Normandie : 1"
20,Les Eaux Claires,Grenoble,"11,7",ECT,"Cet établissement public a présenté 13 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Grenoble EM : 5
	- Kedge : 1
	- Rennes SB : 1
	- Burgundy SB : 2"
21,Le Castel,Dijon,"11,6",ECT,"Cet établissement public a présenté 24 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Skema : 4
	- Audencia : 1
	- Neoma : 1
	- Kedge : 2
	- Rennes SB : 1
	- Montpellier BS : 3
	- Burgundy SB : 6
	- ICN : 2
	- EM Strasbourg : 1"
22,Franklin Roosevelt,Reims,"11,5",ECT,"Cet établissement public a présenté 26 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Edhec : 1
	- Skema : 1
	- Audencia : 3
	- Neoma : 1
	- Grenoble EM : 1
	- TBS Education : 1
	- Montpellier BS : 2
	- Burgundy SB : 3
	- IMT BS : 1
	- ICN : 1
	- Excelia : 6
	- Inseec : 1"
22,Jules Lesven,Brest,"11,5",ECT,"Cet établissement public a présenté 17 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Audencia : 2
	- Kedge : 2
	- TBS Education : 1
	- Rennes SB : 5
	- Montpellier BS : 2
	- Burgundy SB : 1
	- ICN : 1
	- Excelia : 2
	- ESC Clermont : 1"
22,La Martinière Duchère,Lyon 9e,"11,5",ECT,"Cet établissement public a présenté 29 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESCP : 1
	- EM Lyon : 1
	- Neoma : 2
	- Kedge : 5
	- Rennes SB : 3
	- Montpellier BS : 6
	- Burgundy SB : 7
	- EM Strasbourg : 1"
22,Venise Verte,Niort,"11,5",ECT,"Cet établissement public a présenté 24 candidats en ECT en 2023. Leur moyenne au bac est estimée à 12,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESCP : 1
	- Audencia : 2
	- Neoma : 2
	- Grenoble EM : 1
	- Rennes SB : 2
	- Burgundy SB : 4
	- IMT BS : 2
	- ICN : 1
	- Excelia : 3
	- Inseec : 1
	- ISC : 1"
26,Montplaisir,Valence,"11,4",ECT,"Cet établissement privé a présenté 14 candidats en ECT en 2023. Leur moyenne au bac est estimée à 12,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- EM Lyon : 1
	- Neoma : 1
	- Grenoble EM : 1
	- Kedge : 1
	- TBS Education : 1
	- Montpellier BS : 2
	- Burgundy SB : 2
	- IMT BS : 1
	- ICN : 2
	- ESC Clermont : 2"
27,Les Bruyères,Sotteville-lès-Rouen,"11,3",ECT,"Cet établissement public a présenté 34 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Essec : 1
	- Neoma : 5
	- TBS Education : 2
	- Rennes SB : 4
	- Montpellier BS : 2
	- Burgundy SB : 6
	- IMT BS : 2
	- ICN : 5
	- Excelia : 1
	- EM Normandie : 2
	- ISC : 1"
27,Parc de Vilgénis,Massy,"11,3",ECT,"Cet établissement public a présenté 17 candidats en ECT en 2023. Leur moyenne au bac est estimée à 12,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Skema : 1
	- Audencia : 1
	- Kedge : 1
	- TBS Education : 3
	- Rennes SB : 2
	- Montpellier BS : 1
	- ICN : 5
	- Excelia : 1"
29,Pablo Picasso,Fontenay-sous-Bois,"11,2",ECT,"Cet établissement public a présenté 21 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Neoma : 3
	- Grenoble EM : 1
	- Kedge : 1
	- TBS Education : 2
	- Rennes SB : 1
	- Montpellier BS : 2
	- ICN : 5"
30,Honoré d'Estienne d'Orves,Nice,"11,1",ECT,"Cet établissement public a présenté 19 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Skema : 1
	- Audencia : 1
	- Grenoble EM : 1
	- Kedge : 2
	- Rennes SB : 1
	- Montpellier BS : 3
	- Burgundy SB : 4
	- ICN : 2
	- Inseec : 2
	- ISC : 1"
31,Louis Pergaud,Besançon,11,ECT,"Cet établissement public a présenté 24 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Skema : 1
	- Grenoble EM : 1
	- Kedge : 3
	- TBS Education : 3
	- Montpellier BS : 6
	- Burgundy SB : 5
	- ICN : 2
	- Inseec : 1"
32,Louis Thuillier,Amiens,"10,8",ECT,"Cet établissement public a présenté 20 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Neoma : 2
	- TBS Education : 3
	- Rennes SB : 1
	- Burgundy SB : 4
	- ICN : 2
	- Excelia : 3
	- EM Strasbourg : 1"
33,Bellepierre,Saint-Denis,"10,5",ECT,"Cet établissement public a présenté 17 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Skema : 1
	- Rennes SB : 2
	- Montpellier BS : 1
	- Burgundy SB : 2
	- ICN : 3
	- Excelia : 1
	- Inseec : 1"
34,René Cassin,Strasbourg,"10,4",ECT,"Cet établissement public a présenté 33 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Audencia : 1
	- Kedge : 1
	- TBS Education : 2
	- Rennes SB : 1
	- Montpellier BS : 3
	- Burgundy SB : 15
	- ICN : 4
	- EM Strasbourg : 1"
35,Frédéric Chopin,Nancy,"10,3",ECT,"Cet établissement public a présenté 20 candidats en ECT en 2023. Leur moyenne au bac est estimée à 14,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Kedge : 1
	- TBS Education : 1
	- Rennes SB : 1
	- Montpellier BS : 3
	- Burgundy SB : 2
	- IMT BS : 1
	- ICN : 9"
36,Baimbridge,Les Abymes,10,ECT,"Cet établissement public a présenté 16 candidats en ECT en 2023. Leur moyenne au bac est estimée à 13,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Burgundy SB : 3
	- ICN : 6
	- Excelia : 2
	- EM Strasbourg : 1"
36,Frantz Fanon,La Trinité,10,ECT,"Cet établissement public a présenté 17 candidats en ECT en 2023. Leur moyenne au bac est estimée à 12,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ICN : 5
	- Excelia : 3
	- Inseec : 2
	- ESC Clermont : 1"
1,Henri IV,Paris 5e,20,Lettres,"Cet établissement public a présenté 202 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 18,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 36
	- ENS de Lyon : 21
	- ENS Paris-Saclay : 1
	- HEC : 9
	- Essec : 3
	- ESCP : 4
	- Edhec : 1
	- EM Lyon : 1"
2,Madeleine Daniélou,Rueil-Malmaison,"18,6",Lettres,"Cet établissement privé a présenté 42 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 5
	- ESM Saint-Cyr : 1
	- HEC : 3
	- Essec : 5
	- ESCP : 5
	- Edhec : 5
	- EM Lyon : 3
	- Skema : 1
	- Neoma : 1"
3,Louis Le Grand,Paris 5e,"16,2",Lettres,"Cet établissement public a présenté 103 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 18,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 17
	- ENS de Lyon : 1
	- HEC : 3
	- ESCP : 2
	- EM Lyon : 1
	- Skema : 1
	- Neoma : 1"
4,Blanche de Castille,Le Chesnay,"16,1",Lettres,"Cet établissement privé a présenté 46 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 5
	- ESM Saint-Cyr : 4
	- HEC : 1
	- Essec : 2
	- Edhec : 3
	- Audencia : 1"
5,Sainte-Marie,Lyon 5e,"14,4",Lettres,"Cet établissement privé a présenté 26 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 3
	- ESM Saint-Cyr : 2
	- Neoma : 1"
5,Sainte-Marie,Neuilly-sur-Seine,"14,4",Lettres,"Cet établissement privé a présenté 45 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 3
	- HEC : 2
	- Essec : 3
	- ESCP : 1
	- Edhec : 1
	- EM Lyon : 3
	- Skema : 2
	- Neoma : 1"
7,Fénelon,Paris 6e,"13,8",Lettres,"Cet établissement public a présenté 176 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 2
	- ENS de Lyon : 17
	- ESM Saint-Cyr : 1
	- Essec : 3
	- Edhec : 2
	- EM Lyon : 1
	- Audencia : 1
	- Neoma : 3
	- Kedge : 1"
8,Le Parc,Lyon 6e,"13,6",Lettres,"Cet établissement public a présenté 92 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 17,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 3
	- ENS de Lyon : 6
	- ENS Paris-Saclay : 1
	- ESCP : 1
	- EM Lyon : 2
	- Neoma : 1"
9,Chateaubriand,Rennes,"13,3",Lettres,"Cet établissement public a présenté 70 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 17,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 7
	- ESCP : 1
	- EM Lyon : 1"
9,Jules Guesde,Montpellier,"13,3",Lettres,"Cet établissement public a présenté 19 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 14,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 2"
11,Claude Fauriel,Saint-Etienne,"12,9",Lettres,"Cet établissement public a présenté 37 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 3
	- EM Lyon : 1
	- Neoma : 2
	- TBS Education : 1"
12,Blomet,Paris 15e,"12,8",Lettres,"Cet établissement privé a présenté 42 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Essec : 1
	- ESCP : 2
	- Edhec : 1
	- EM Lyon : 1
	- Skema : 3
	- Audencia : 8
	- Neoma : 3
	- Kedge : 1"
12,Molière,Paris 16e,"12,8",Lettres,"Cet établissement public a présenté 53 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 2
	- HEC : 1
	- Essec : 1
	- EM Lyon : 1
	- Skema : 2
	- Audencia : 1
	- Neoma : 3
	- Kedge : 1
	- Montpellier BS : 1"
14,Henri Poincaré,Nancy,"12,3",Lettres,"Cet établissement public a présenté 74 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 4
	- Skema : 1
	- Audencia : 1
	- Kedge : 2
	- Burgundy SB : 1
	- IMT BS : 1
	- South Champagne BS : 1"
15,Fénelon,Clermont-Ferrand,"12,1",Lettres,"Cet établissement privé a présenté 28 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 14,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ESM Saint-Cyr : 5
	- Edhec : 1
	- Neoma : 2"
16,Pierre de Fermat,Toulouse,"11,7",Lettres,"Cet établissement public a présenté 36 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 2"
16,Victor Duruy,Paris 7e,"11,7",Lettres,"Cet établissement public a présenté 55 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- ENS Paris-Saclay : 1
	- EM Lyon : 2
	- Skema : 4
	- Neoma : 1
	- Grenoble EM : 1"
18,Clemenceau,Nantes,"11,6",Lettres,"Cet établissement public a présenté 39 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 2
	- TBS Education : 1"
18,Edouard Herriot,Lyon 6e,"11,6",Lettres,"Cet établissement public a présenté 105 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 2
	- ENS de Lyon : 3
	- Skema : 1
	- Audencia : 1
	- Kedge : 1"
18,Janson de Sailly,Paris 16e,"11,6",Lettres,"Cet établissement public a présenté 47 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- HEC : 1
	- Edhec : 4
	- Skema : 1
	- Inseec : 1"
21,Gambetta - Carnot,Arras,"11,5",Lettres,"Cet établissement public a présenté 43 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 2
	- Neoma : 1"
22,Fustel de Coulanges,Strasbourg,"11,3",Lettres,"Cet établissement public a présenté 79 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 2
	- ENS de Lyon : 1
	- EM Lyon : 2
	- ESC Clermont : 1"
23,Condorcet,Paris 9e,"11,2",Lettres,"Cet établissement public a présenté 104 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 1
	- ENS Paris-Saclay : 1
	- Essec : 1
	- EM Lyon : 2
	- Skema : 2
	- Audencia : 1
	- Neoma : 1"
24,Jean Jaurès,Reims,"11,1",Lettres,"Cet établissement public a présenté 38 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Neoma : 2
	- Kedge : 1
	- EM Strasbourg : 1"
24,La Bruyère,Versailles,"11,1",Lettres,"Cet établissement public a présenté 99 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 2
	- ESM Saint-Cyr : 3
	- EM Lyon : 1
	- Skema : 1
	- Neoma : 2
	- Rennes SB : 1"
24,Saint-Sernin,Toulouse,"11,1",Lettres,"Cet établissement public a présenté 127 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 3
	- ENS Paris-Saclay : 1
	- Audencia : 3
	- Kedge : 1"
27,Bossuet,Meaux,11,Lettres,"Cet établissement public a présenté 12 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 14 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Skema : 1
	- Neoma : 2
	- Kedge : 1
	- EM Strasbourg : 1"
27,Chaptal,Paris 8e,11,Lettres,"Cet établissement public a présenté 84 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Paris-Saclay : 1
	- Essec : 1
	- Edhec : 1
	- EM Lyon : 2
	- Skema : 4
	- Audencia : 1
	- Grenoble EM : 1
	- Kedge : 1
	- ISC : 1"
27,Descartes,Tours,11,Lettres,"Cet établissement public a présenté 39 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Grenoble EM : 1
	- Kedge : 1"
27,Georges de la Tour,Metz,11,Lettres,"Cet établissement public a présenté 49 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 14,9 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- ESM Saint-Cyr : 1
	- Neoma : 1
	- Grenoble EM : 1
	- Kedge : 1
	- ICN : 1"
31,Blaise Pascal,Clermont-Ferrand,"10,9",Lettres,"Cet établissement public a présenté 50 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,4 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- EM Lyon : 1
	- Skema : 1
	- Audencia : 1
	- Neoma : 1
	- ICN : 1"
31,Marcelin Berthelot,Saint-Maur-des-Fossés,"10,9",Lettres,"Cet établissement public a présenté 33 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 14,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1"
33,Emmanuel d'Alzon,Nîmes,"10,8",Lettres,"Cet établissement privé a présenté 12 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 13,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Audencia : 1
	- Neoma : 2
	- Montpellier BS : 1
	- EM Strasbourg : 1"
33,Faidherbe,Lille,"10,8",Lettres,"Cet établissement public a présenté 145 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 17 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 2
	- ENS Paris-Saclay : 1
	- ESCP : 1
	- EM Lyon : 1
	- Neoma : 3
	- Kedge : 1"
33,Frédéric Mistral,Avignon,"10,8",Lettres,"Cet établissement public a présenté 42 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 14,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Audencia : 1"
33,Jeanne d'Arc,Rouen,"10,8",Lettres,"Cet établissement public a présenté 44 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 14,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Paris-Saclay : 1
	- Audencia : 1"
33,Lakanal,Sceaux,"10,8",Lettres,"Cet établissement public a présenté 126 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 2
	- ESM Saint-Cyr : 1
	- Essec : 1
	- ESCP : 1
	- EM Lyon : 1
	- Audencia : 2
	- Neoma : 1"
33,Louis Pasteur,Besançon,"10,8",Lettres,"Cet établissement public a présenté 39 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1"
33,Maison de la Légion d'Honneur,Saint-Denis,"10,8",Lettres,"Cet établissement public a présenté 26 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- EM Lyon : 1
	- Skema : 2
	- Audencia : 1
	- Neoma : 2
	- EM Strasbourg : 1"
40,Joffre,Montpellier,"10,7",Lettres,"Cet établissement public a présenté 78 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Skema : 2
	- Audencia : 2
	- Neoma : 4"
40,Masséna,Nice,"10,7",Lettres,"Cet établissement public a présenté 79 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 16 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- EM Lyon : 1
	- Neoma : 3
	- Kedge : 2"
42,Pothier,Orléans,"10,6",Lettres,"Cet établissement public a présenté 55 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- Neoma : 1
	- Excelia : 1"
43,Camille Jullian,Bordeaux,"10,5",Lettres,"Cet établissement public a présenté 75 candidats en Lettres en 2023. Leur moyenne au bac est estimée à 15,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- ESCP : 1
	- Inseec : 1"
