Rang,Etablissement,Commune,Note,Filière,Texte
27,Claude Fauriel,Saint-Etienne,"12,8",BCPST,"{'AgroParisTech': 3, 'Bordeaux Sciences Agro': 2, 'Ensaia': 1, 'Ensat': 2, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 3, 'Oniris': 2, 'VetAgro Sup': 3, 'ENV Toulouse': 1}"
27,Descartes,Tours,"12,8",BCPST,"{'AgroParisTech': 3, 'Ensaia': 2, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 3, 'Oniris': 1, 'VetAgro Sup': 5, 'ENV Toulouse': 2}"
27,Thiers,Marseille 1er,"12,8",BCPST,"{'ENS Ulm': 1, 'AgroParisTech': 4, 'Bordeaux Sciences Agro': 2, 'Ensaia': 2, 'Ensat': 9, 'Institut Agro Dijon': 2, 'Institut Agro Montpellier': 12, 'VetAgro Sup': 4, 'ENV Alfort': 1, 'ENV Toulouse': 5}"
30,Albert Châtelet,Douai,"12,7",BCPST,"{'ENS de Lyon': 1, 'Chimie ParisTech': 1, 'Ensaia': 4, 'Institut Agro Dijon': 3, 'Institut Agro Rennes-Angers': 3, 'Oniris': 4, 'VetAgro Sup': 1}"
30,Henri Poincaré,Nancy,"12,7",BCPST,"{'CentraleSupélec': 1, 'AgroParisTech': 5, 'Bordeaux Sciences Agro': 1, 'Ensaia': 7, 'Ensat': 2, 'Institut Agro Dijon': 9, 'Institut Agro Montpellier': 2, 'Institut Agro Rennes-Angers': 1, 'Oniris': 3, 'VetAgro Sup': 3}"
30,Marcelin Berthelot,Saint-Maur-des-Fossés,"12,7",BCPST,"{'CentraleSupélec': 1, 'ESPCI': 1, 'AgroParisTech': 7, 'Bordeaux Sciences Agro': 1, 'Ensaia': 4, 'Ensat': 1, 'Institut Agro Dijon': 2, 'Institut Agro Montpellier': 2, 'Institut Agro Rennes-Angers': 7, 'Oniris': 5, 'ENV Alfort': 8, 'ENV Toulouse': 1}"
30,Montaigne,Bordeaux,"12,7",BCPST,"{'AgroParisTech': 4, 'Bordeaux Sciences Agro': 5, 'Ensaia': 2, 'Ensat': 2, 'Institut Agro Dijon': 1, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 6, 'Oniris': 5, 'ENV Alfort': 1, 'ENV Toulouse': 7}"
34,Victor Hugo,Besançon,"12,5",BCPST,"{'ENS de Lyon': 2, 'AgroParisTech': 1, 'Bordeaux Sciences Agro': 1, 'Ensaia': 3, 'Institut Agro Dijon': 2, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 3, 'VetAgro Sup': 2, 'ENV Alfort': 1}"
35,François 1er,Fontainebleau,"12,4",BCPST,"{'Phelma': 1, 'AgroParisTech': 1, 'Ensat': 1, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 4, 'ENV Toulouse': 3}"
35,Jacques Prévert,Boulogne-Billancourt,"12,4",BCPST,"{'AgroParisTech': 1, 'Bordeaux Sciences Agro': 3, 'Ensaia': 1, 'Institut Agro Montpellier': 1, 'Institut Agro Rennes-Angers': 1, 'Oniris': 4, 'VetAgro Sup': 1, 'ENV Alfort': 2}"
