Rang,Etablissement,Commune,Note,Filière,Texte
3,Ozenne,Toulouse,"14,8",ECT,"{'Essec': 1, 'ESCP': 1, 'Edhec': 1, 'EM Lyon': 3, 'Skema': 3, 'Audencia': 4, 'Neoma': 4, 'Grenoble EM': 1, 'Kedge': 3, 'TBS Education': 3, 'IMT BS': 1, 'Excelia': 1}"
4,Claude Bernard,Villefranche-sur-Saône,"14,5",ECT,"{'Essec': 2, 'EM Lyon': 4, 'Neoma': 3, 'Grenoble EM': 3, 'TBS Education': 1, 'Montpellier BS': 1, 'Burgundy SB': 2}"
5,Le Rebours,Paris 13e,"14,3",ECT,"{'HEC': 1, 'ESCP': 2, 'Edhec': 1, 'Skema': 3, 'Grenoble EM': 1, 'Kedge': 1, 'TBS Education': 8, 'Rennes SB': 2}"
6,Turgot,Paris 3e,"13,9",ECT,"{'HEC': 2, 'Essec': 3, 'Skema': 3, 'Neoma': 3, 'Grenoble EM': 2, 'Rennes SB': 4, 'Montpellier BS': 2, 'ICN': 4}"
7,La Salle,Rennes,"13,8",ECT,"{'EM Lyon': 3, 'Skema': 1, 'Audencia': 3, 'Neoma': 1, 'Kedge': 2, 'TBS Education': 3, 'Rennes SB': 2, 'Excelia': 1}"
8,Chevrollier,Angers,"13,7",ECT,"{'ESCP': 2, 'Edhec': 1, 'EM Lyon': 2, 'Skema': 3, 'Audencia': 3, 'Neoma': 5, 'Grenoble EM': 1, 'Kedge': 6, 'TBS Education': 2, 'Rennes SB': 1, 'Montpellier BS': 1, 'Excelia': 1, 'EM Strasbourg': 2, 'EM Normandie': 1}"
8,ENC Bessières,Paris 17e,"13,7",ECT,"{'ESCP': 2, 'Edhec': 1, 'EM Lyon': 4, 'Skema': 1, 'Audencia': 3, 'Neoma': 1, 'Grenoble EM': 3, 'Kedge': 6, 'TBS Education': 1, 'ICN': 4}"
8,Henri Moissan,Meaux,"13,7",ECT,"{'Essec': 1, 'ESCP': 4, 'Edhec': 1, 'Audencia': 1, 'Neoma': 2, 'Grenoble EM': 2, 'TBS Education': 1, 'Rennes SB': 1, 'Montpellier BS': 2, 'ICN': 3}"
8,Jules Guesde,Montpellier,"13,7",ECT,"{'HEC': 1, 'Essec': 1, 'ESCP': 2, 'Edhec': 1, 'EM Lyon': 3, 'Skema': 3, 'Audencia': 3, 'Neoma': 1, 'Grenoble EM': 3, 'Kedge': 2, 'TBS Education': 2, 'Montpellier BS': 7, 'Burgundy SB': 3, 'IMT BS': 2}"
12,Alfred Kastler,Cergy,"13,6",ECT,"{'HEC': 1, 'Essec': 2, 'ESCP': 2, 'Edhec': 1, 'Audencia': 1, 'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 1, 'Montpellier BS': 1, 'Burgundy SB': 2, 'ICN': 5, 'EM Strasbourg': 1}"
13,Gaston Berger,Lille,"12,8",ECT,"{'ESCP': 1, 'Edhec': 1, 'Skema': 1, 'Neoma': 2, 'Grenoble EM': 7, 'Kedge': 5, 'Montpellier BS': 3, 'ICN': 1, 'EM Normandie': 1}"
14,Jean Perrin,Marseille 10e,"12,7",ECT,"{'HEC': 1, 'ESCP': 2, 'Edhec': 1, 'EM Lyon': 1, 'Audencia': 1, 'Neoma': 2, 'Grenoble EM': 3, 'Kedge': 3, 'TBS Education': 4, 'Rennes SB': 2, 'Montpellier BS': 7, 'Burgundy SB': 3, 'ICN': 1, 'Inseec': 1}"
14,Sidoine Apollinaire,Clermont-Ferrand,"12,7",ECT,"{'Skema': 2, 'Neoma': 2, 'Grenoble EM': 1, 'Kedge': 2, 'TBS Education': 3, 'Montpellier BS': 3}"
16,Condorcet,Saint-Priest,"12,4",ECT,"{'Edhec': 1, 'Audencia': 1, 'Neoma': 1, 'Grenoble EM': 5, 'Kedge': 1, 'TBS Education': 1, 'Montpellier BS': 1, 'Burgundy SB': 4, 'ICN': 1, 'Excelia': 1}"
16,Voltaire,Orléans,"12,4",ECT,"{'EM Lyon': 2, 'Skema': 1, 'Audencia': 2, 'Neoma': 2, 'Grenoble EM': 2, 'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 3, 'Montpellier BS': 2, 'Burgundy SB': 2, 'ICN': 2, 'ISC': 1}"
18,Nicolas Brémontier,Bordeaux,"12,2",ECT,"{'Essec': 1, 'ESCP': 1, 'Skema': 2, 'Audencia': 1, 'Montpellier BS': 3, 'Burgundy SB': 5, 'ICN': 2, 'Excelia': 1}"
19,Salvador Allende,Hérouville-Saint-Clair,"12,1",ECT,"{'Edhec': 2, 'Skema': 1, 'Audencia': 1, 'Neoma': 5, 'TBS Education': 1, 'Montpellier BS': 3, 'Burgundy SB': 2, 'Excelia': 2, 'EM Normandie': 1}"
20,Les Eaux Claires,Grenoble,"11,7",ECT,"{'Grenoble EM': 5, 'Kedge': 1, 'Rennes SB': 1, 'Burgundy SB': 2}"
21,Le Castel,Dijon,"11,6",ECT,"{'Skema': 4, 'Audencia': 1, 'Neoma': 1, 'Kedge': 2, 'Rennes SB': 1, 'Montpellier BS': 3, 'Burgundy SB': 6, 'ICN': 2, 'EM Strasbourg': 1}"
22,Franklin Roosevelt,Reims,"11,5",ECT,"{'Edhec': 1, 'Skema': 1, 'Audencia': 3, 'Neoma': 1, 'Grenoble EM': 1, 'TBS Education': 1, 'Montpellier BS': 2, 'Burgundy SB': 3, 'IMT BS': 1, 'ICN': 1, 'Excelia': 6, 'Inseec': 1}"
22,Jules Lesven,Brest,"11,5",ECT,"{'Audencia': 2, 'Kedge': 2, 'TBS Education': 1, 'Rennes SB': 5, 'Montpellier BS': 2, 'Burgundy SB': 1, 'ICN': 1, 'Excelia': 2, 'ESC Clermont': 1}"
22,La Martinière Duchère,Lyon 9e,"11,5",ECT,"{'ESCP': 1, 'EM Lyon': 1, 'Neoma': 2, 'Kedge': 5, 'Rennes SB': 3, 'Montpellier BS': 6, 'Burgundy SB': 7, 'EM Strasbourg': 1}"
22,Venise Verte,Niort,"11,5",ECT,"{'ESCP': 1, 'Audencia': 2, 'Neoma': 2, 'Grenoble EM': 1, 'Rennes SB': 2, 'Burgundy SB': 4, 'IMT BS': 2, 'ICN': 1, 'Excelia': 3, 'Inseec': 1, 'ISC': 1}"
26,Montplaisir,Valence,"11,4",ECT,"{'EM Lyon': 1, 'Neoma': 1, 'Grenoble EM': 1, 'Kedge': 1, 'TBS Education': 1, 'Montpellier BS': 2, 'Burgundy SB': 2, 'IMT BS': 1, 'ICN': 2, 'ESC Clermont': 2}"
27,Les Bruyères,Sotteville-lès-Rouen,"11,3",ECT,"{'Essec': 1, 'Neoma': 5, 'TBS Education': 2, 'Rennes SB': 4, 'Montpellier BS': 2, 'Burgundy SB': 6, 'IMT BS': 2, 'ICN': 5, 'Excelia': 1, 'EM Normandie': 2, 'ISC': 1}"
27,Parc de Vilgénis,Massy,"11,3",ECT,"{'Skema': 1, 'Audencia': 1, 'Kedge': 1, 'TBS Education': 3, 'Rennes SB': 2, 'Montpellier BS': 1, 'ICN': 5, 'Excelia': 1}"
29,Pablo Picasso,Fontenay-sous-Bois,"11,2",ECT,"{'Neoma': 3, 'Grenoble EM': 1, 'Kedge': 1, 'TBS Education': 2, 'Rennes SB': 1, 'Montpellier BS': 2, 'ICN': 5}"
30,Honoré d'Estienne d'Orves,Nice,"11,1",ECT,"{'Skema': 1, 'Audencia': 1, 'Grenoble EM': 1, 'Kedge': 2, 'Rennes SB': 1, 'Montpellier BS': 3, 'Burgundy SB': 4, 'ICN': 2, 'Inseec': 2, 'ISC': 1}"
31,Louis Pergaud,Besançon,11,ECT,"{'Skema': 1, 'Grenoble EM': 1, 'Kedge': 3, 'TBS Education': 3, 'Montpellier BS': 6, 'Burgundy SB': 5, 'ICN': 2, 'Inseec': 1}"
32,Louis Thuillier,Amiens,"10,8",ECT,"{'Neoma': 2, 'TBS Education': 3, 'Rennes SB': 1, 'Burgundy SB': 4, 'ICN': 2, 'Excelia': 3, 'EM Strasbourg': 1}"
33,Bellepierre,Saint-Denis,"10,5",ECT,"{'Skema': 1, 'Rennes SB': 2, 'Montpellier BS': 1, 'Burgundy SB': 2, 'ICN': 3, 'Excelia': 1, 'Inseec': 1}"
34,René Cassin,Strasbourg,"10,4",ECT,"{'Audencia': 1, 'Kedge': 1, 'TBS Education': 2, 'Rennes SB': 1, 'Montpellier BS': 3, 'Burgundy SB': 15, 'ICN': 4, 'EM Strasbourg': 1}"
35,Frédéric Chopin,Nancy,"10,3",ECT,"{'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 1, 'Montpellier BS': 3, 'Burgundy SB': 2, 'IMT BS': 1, 'ICN': 9}"
36,Baimbridge,Les Abymes,10,ECT,"{'Burgundy SB': 3, 'ICN': 6, 'Excelia': 2, 'EM Strasbourg': 1}"
36,Frantz Fanon,La Trinité,10,ECT,"{'ICN': 5, 'Excelia': 3, 'Inseec': 2, 'ESC Clermont': 1}"
1,Henri IV,Paris 5e,20,Lettres,"{'ENS Ulm': 36, 'ENS de Lyon': 21, 'ENS Paris-Saclay': 1, 'HEC': 9, 'Essec': 3, 'ESCP': 4, 'Edhec': 1, 'EM Lyon': 1}"
2,Madeleine Daniélou,Rueil-Malmaison,"18,6",Lettres,"{'ENS de Lyon': 5, 'ESM Saint-Cyr': 1, 'HEC': 3, 'Essec': 5, 'ESCP': 5, 'Edhec': 5, 'EM Lyon': 3, 'Skema': 1, 'Neoma': 1}"
3,Louis Le Grand,Paris 5e,"16,2",Lettres,"{'ENS Ulm': 17, 'ENS de Lyon': 1, 'HEC': 3, 'ESCP': 2, 'EM Lyon': 1, 'Skema': 1, 'Neoma': 1}"
4,Blanche de Castille,Le Chesnay,"16,1",Lettres,"{'ENS Ulm': 1, 'ENS de Lyon': 5, 'ESM Saint-Cyr': 4, 'HEC': 1, 'Essec': 2, 'Edhec': 3, 'Audencia': 1}"
5,Sainte-Marie,Lyon 5e,"14,4",Lettres,"{'ENS de Lyon': 3, 'ESM Saint-Cyr': 2, 'Neoma': 1}"
5,Sainte-Marie,Neuilly-sur-Seine,"14,4",Lettres,"{'ENS Ulm': 3, 'HEC': 2, 'Essec': 3, 'ESCP': 1, 'Edhec': 1, 'EM Lyon': 3, 'Skema': 2, 'Neoma': 1}"
7,Fénelon,Paris 6e,"13,8",Lettres,"{'ENS Ulm': 2, 'ENS de Lyon': 17, 'ESM Saint-Cyr': 1, 'Essec': 3, 'Edhec': 2, 'EM Lyon': 1, 'Audencia': 1, 'Neoma': 3, 'Kedge': 1}"
8,Le Parc,Lyon 6e,"13,6",Lettres,"{'ENS Ulm': 3, 'ENS de Lyon': 6, 'ENS Paris-Saclay': 1, 'ESCP': 1, 'EM Lyon': 2, 'Neoma': 1}"
9,Chateaubriand,Rennes,"13,3",Lettres,"{'ENS de Lyon': 7, 'ESCP': 1, 'EM Lyon': 1}"
9,Jules Guesde,Montpellier,"13,3",Lettres,{'ENS de Lyon': 2}
11,Claude Fauriel,Saint-Etienne,"12,9",Lettres,"{'ENS de Lyon': 3, 'EM Lyon': 1, 'Neoma': 2, 'TBS Education': 1}"
12,Blomet,Paris 15e,"12,8",Lettres,"{'ENS de Lyon': 1, 'Essec': 1, 'ESCP': 2, 'Edhec': 1, 'EM Lyon': 1, 'Skema': 3, 'Audencia': 8, 'Neoma': 3, 'Kedge': 1}"
12,Molière,Paris 16e,"12,8",Lettres,"{'ENS Ulm': 1, 'ENS de Lyon': 2, 'HEC': 1, 'Essec': 1, 'EM Lyon': 1, 'Skema': 2, 'Audencia': 1, 'Neoma': 3, 'Kedge': 1, 'Montpellier BS': 1}"
14,Henri Poincaré,Nancy,"12,3",Lettres,"{'ENS Ulm': 1, 'ENS de Lyon': 4, 'Skema': 1, 'Audencia': 1, 'Kedge': 2, 'Burgundy SB': 1, 'IMT BS': 1, 'South Champagne BS': 1}"
15,Fénelon,Clermont-Ferrand,"12,1",Lettres,"{'ESM Saint-Cyr': 5, 'Edhec': 1, 'Neoma': 2}"
16,Pierre de Fermat,Toulouse,"11,7",Lettres,{'ENS Ulm': 2}
16,Victor Duruy,Paris 7e,"11,7",Lettres,"{'ENS de Lyon': 1, 'ENS Paris-Saclay': 1, 'EM Lyon': 2, 'Skema': 4, 'Neoma': 1, 'Grenoble EM': 1}"
18,Clemenceau,Nantes,"11,6",Lettres,"{'ENS de Lyon': 2, 'TBS Education': 1}"
18,Edouard Herriot,Lyon 6e,"11,6",Lettres,"{'ENS Ulm': 2, 'ENS de Lyon': 3, 'Skema': 1, 'Audencia': 1, 'Kedge': 1}"
18,Janson de Sailly,Paris 16e,"11,6",Lettres,"{'ENS Ulm': 1, 'HEC': 1, 'Edhec': 4, 'Skema': 1, 'Inseec': 1}"
21,Gambetta - Carnot,Arras,"11,5",Lettres,"{'ENS de Lyon': 2, 'Neoma': 1}"
22,Fustel de Coulanges,Strasbourg,"11,3",Lettres,"{'ENS Ulm': 2, 'ENS de Lyon': 1, 'EM Lyon': 2, 'ESC Clermont': 1}"
23,Condorcet,Paris 9e,"11,2",Lettres,"{'ENS Ulm': 1, 'ENS de Lyon': 1, 'ENS Paris-Saclay': 1, 'Essec': 1, 'EM Lyon': 2, 'Skema': 2, 'Audencia': 1, 'Neoma': 1}"
24,Jean Jaurès,Reims,"11,1",Lettres,"{'ENS de Lyon': 1, 'Neoma': 2, 'Kedge': 1, 'EM Strasbourg': 1}"
24,La Bruyère,Versailles,"11,1",Lettres,"{'ENS de Lyon': 2, 'ESM Saint-Cyr': 3, 'EM Lyon': 1, 'Skema': 1, 'Neoma': 2, 'Rennes SB': 1}"
24,Saint-Sernin,Toulouse,"11,1",Lettres,"{'ENS de Lyon': 3, 'ENS Paris-Saclay': 1, 'Audencia': 3, 'Kedge': 1}"
27,Bossuet,Meaux,11,Lettres,"{'Skema': 1, 'Neoma': 2, 'Kedge': 1, 'EM Strasbourg': 1}"
27,Chaptal,Paris 8e,11,Lettres,"{'ENS Paris-Saclay': 1, 'Essec': 1, 'Edhec': 1, 'EM Lyon': 2, 'Skema': 4, 'Audencia': 1, 'Grenoble EM': 1, 'Kedge': 1, 'ISC': 1}"
27,Descartes,Tours,11,Lettres,"{'ENS de Lyon': 1, 'Grenoble EM': 1, 'Kedge': 1}"
27,Georges de la Tour,Metz,11,Lettres,"{'ENS de Lyon': 1, 'ESM Saint-Cyr': 1, 'Neoma': 1, 'Grenoble EM': 1, 'Kedge': 1, 'ICN': 1}"
31,Blaise Pascal,Clermont-Ferrand,"10,9",Lettres,"{'ENS de Lyon': 1, 'EM Lyon': 1, 'Skema': 1, 'Audencia': 1, 'Neoma': 1, 'ICN': 1}"
31,Marcelin Berthelot,Saint-Maur-des-Fossés,"10,9",Lettres,{'ENS de Lyon': 1}
33,Emmanuel d'Alzon,Nîmes,"10,8",Lettres,"{'Audencia': 1, 'Neoma': 2, 'Montpellier BS': 1, 'EM Strasbourg': 1}"
33,Faidherbe,Lille,"10,8",Lettres,"{'ENS de Lyon': 2, 'ENS Paris-Saclay': 1, 'ESCP': 1, 'EM Lyon': 1, 'Neoma': 3, 'Kedge': 1}"
33,Frédéric Mistral,Avignon,"10,8",Lettres,"{'ENS de Lyon': 1, 'Audencia': 1}"
33,Jeanne d'Arc,Rouen,"10,8",Lettres,"{'ENS Paris-Saclay': 1, 'Audencia': 1}"
33,Lakanal,Sceaux,"10,8",Lettres,"{'ENS de Lyon': 2, 'ESM Saint-Cyr': 1, 'Essec': 1, 'ESCP': 1, 'EM Lyon': 1, 'Audencia': 2, 'Neoma': 1}"
33,Louis Pasteur,Besançon,"10,8",Lettres,{'ENS de Lyon': 1}
33,Maison de la Légion d'Honneur,Saint-Denis,"10,8",Lettres,"{'EM Lyon': 1, 'Skema': 2, 'Audencia': 1, 'Neoma': 2, 'EM Strasbourg': 1}"
40,Joffre,Montpellier,"10,7",Lettres,"{'ENS de Lyon': 1, 'Skema': 2, 'Audencia': 2, 'Neoma': 4}"
40,Masséna,Nice,"10,7",Lettres,"{'ENS de Lyon': 1, 'EM Lyon': 1, 'Neoma': 3, 'Kedge': 2}"
42,Pothier,Orléans,"10,6",Lettres,"{'ENS de Lyon': 1, 'Neoma': 1, 'Excelia': 1}"
43,Camille Jullian,Bordeaux,"10,5",Lettres,"{'ENS de Lyon': 1, 'ESCP': 1, 'Inseec': 1}"
43,Jeanne d'Albret,Saint-Germain-en-Laye,"10,5",Lettres,"{'Edhec': 1, 'Skema': 1, 'Neoma': 1, 'Kedge': 2, 'Rennes SB': 1}"
43,Madame de Staël,Montluçon,"10,5",Lettres,"{'Audencia': 1, 'Neoma': 2}"
43,Michelet,Vanves,"10,5",Lettres,"{'Audencia': 2, 'Neoma': 3, 'Grenoble EM': 1, 'Montpellier BS': 2}"
47,Carnot,Dijon,"10,4",Lettres,"{'ENS Paris-Saclay': 1, 'TBS Education': 1, 'Burgundy SB': 1}"
47,Champollion,Grenoble,"10,4",Lettres,"{'ESM Saint-Cyr': 1, 'Skema': 1, 'Audencia': 1, 'Grenoble EM': 4, 'Kedge': 1, 'Montpellier BS': 1}"
47,Paul Cézanne,Aix-en-Provence,"10,4",Lettres,"{'Audencia': 2, 'Neoma': 1, 'Kedge': 1}"
50,Montesquieu,Le Mans,"10,3",Lettres,{'Neoma': 1}
51,Alphonse Daudet,Nîmes,"10,2",Lettres,{'Kedge': 2}
51,Camille Guérin,Poitiers,"10,2",Lettres,"{'Neoma': 2, 'Rennes SB': 2, 'Inseec': 1}"
51,Ernest Renan,Saint-Brieuc,"10,2",Lettres,{'ESM Saint-Cyr': 1}
51,Felix Eboué,Cayenne,"10,2",Lettres,"{'Kedge': 1, 'Montpellier BS': 1}"
51,Gay-Lussac,Limoges,"10,2",Lettres,{'Neoma': 2}
51,Gustave Monod,Enghien-les-Bains,"10,2",Lettres,"{'Neoma': 2, 'EM Strasbourg': 1}"
51,La Perverie Sacré-Coeur,Nantes,"10,2",Lettres,{'Audencia': 1}
51,Louis Thuillier,Amiens,"10,2",Lettres,"{'Neoma': 2, 'Burgundy SB': 1}"
59,Auguste Blanqui,Saint-Ouen,"10,1",Lettres,{'Grenoble EM': 1}
59,Claude Monet,Paris 13e,"10,1",Lettres,{'Neoma': 1}
59,Guez de Balzac,Angoulême,"10,1",Lettres,{'Kedge': 1}
59,Jean-Pierre Vernant,Sèvres,"10,1",Lettres,{'Grenoble EM': 1}
59,Jules Ferry,Paris 9e,"10,1",Lettres,"{'Skema': 1, 'Audencia': 1, 'Kedge': 1, 'TBS Education': 1, 'Rennes SB': 1}"
59,La Pérouse - Kerichen,Brest,"10,1",Lettres,"{'Audencia': 1, 'Grenoble EM': 1, 'Rennes SB': 1}"
59,Léon Blum,Créteil,"10,1",Lettres,{'Neoma': 1}
59,Montaigne,Bordeaux,"10,1",Lettres,{'Neoma': 2}
59,Paul Valéry,Paris 12e,"10,1",Lettres,{'Audencia': 1}
68,Albert Châtelet,Douai,10,Lettres,{}
68,Albert Schweitzer,Le Raincy,10,Lettres,"{'TBS Education': 2, 'Inseec': 1}"
68,Bellevue,Fort-de-France,10,Lettres,"{'Montpellier BS': 1, 'ICN': 1}"
68,Berthollet,Annecy,10,Lettres,{}
68,Bertran de Born,Périgueux,10,Lettres,{}
68,Carnot,Cannes,10,Lettres,{}
68,Dumont d'Urville,Toulon,10,Lettres,{'TBS Education': 1}
68,Gabriel Guist'Hau,Nantes,10,Lettres,{}
68,Gerville Réache,Basse-Terre,10,Lettres,{'TBS Education': 1}
68,Giocante de Casabianca,Bastia,10,Lettres,{}
68,Henri Martin,Saint-Quentin,10,Lettres,{}
68,Honoré de Balzac,Paris 17e,10,Lettres,{}
68,Hélène Boucher,Paris 20e,10,Lettres,{}
68,Jean François Millet,Cherbourg-en-Cotentin,10,Lettres,{'Rennes SB': 1}
68,Jean Jaurès,Montreuil,10,Lettres,"{'Montpellier BS': 1, 'ICN': 1}"
68,Jean Vilar,Meaux,10,Lettres,{'Rennes SB': 1}
68,Jean-Baptiste Corot,Savigny-sur-Orge,10,Lettres,{'TBS Education': 1}
68,Joliot-Curie,Nanterre,10,Lettres,{}
68,Leconte de Lisle,Saint-Denis,10,Lettres,{'Inseec': 1}
68,Louis Barthou,Pau,10,Lettres,{}
68,Malherbe,Caen,10,Lettres,{'Skema': 1}
68,Mariette,Boulogne-sur-Mer,10,Lettres,{}
68,Notre-Dame de la Paix,Lille,10,Lettres,{}
68,Pierre d'Ailly,Compiègne,10,Lettres,{}
68,Saint-Exupéry,Mantes-la-Jolie,10,Lettres,{'ICN': 1}
68,Thiers,Marseille 1er,10,Lettres,{}
68,Watteau,Valenciennes,10,Lettres,{}
1,Henri IV,Paris 5e,20,LSS (ou B/L),"{'ENS Ulm': 11, 'ENS de Lyon': 3, 'ENS Paris-Saclay': 4, 'Ensae': 3, 'HEC': 12, 'Essec': 3, 'ESCP': 3, 'Edhec': 3, 'EM Lyon': 1, 'Audencia': 1, 'Neoma': 1}"
2,Janson de Sailly,Paris 16e,"18,8",LSS (ou B/L),"{'ENS Ulm': 8, 'ENS de Lyon': 3, 'ENS Paris-Saclay': 9, 'Ensae': 4, 'HEC': 4, 'Essec': 1, 'ESCP': 2, 'EM Lyon': 2}"
3,Le Parc,Lyon 6e,"12,6",LSS (ou B/L),"{'ENS Ulm': 2, 'ENS de Lyon': 1, 'ENS Paris-Saclay': 3, 'Ensae': 1, 'HEC': 1, 'Essec': 1, 'ESCP': 1}"
4,Les Chartreux,Lyon 1er,"12,3",LSS (ou B/L),"{'Ensae': 3, 'HEC': 1, 'Essec': 1, 'ESCP': 1, 'Edhec': 3, 'EM Lyon': 1, 'Skema': 7, 'Neoma': 3}"
5,Notre-Dame Saint-Sigisbert,Nancy,"11,9",LSS (ou B/L),"{'ENS Paris-Saclay': 1, 'Audencia': 1, 'Neoma': 2, 'Kedge': 1, 'Rennes SB': 1, 'Burgundy SB': 1, 'ICN': 1}"
6,Sainte-Marie,Neuilly-sur-Seine,"11,7",LSS (ou B/L),"{'Ensae': 1, 'Essec': 3, 'ESCP': 4, 'EM Lyon': 5, 'Audencia': 2, 'Neoma': 3}"
7,Gabriel Guist'Hau,Nantes,"11,6",LSS (ou B/L),"{'ENS Ulm': 1, 'ENS de Lyon': 2, 'Ensae': 2, 'Audencia': 2, 'Kedge': 2}"
7,Stanislas,Paris 6e,"11,6",LSS (ou B/L),"{'ENS Paris-Saclay': 1, 'Ensae': 1, 'Essec': 1, 'Edhec': 2, 'EM Lyon': 5, 'Skema': 3, 'Neoma': 3, 'Grenoble EM': 1, 'Kedge': 1}"
9,Lakanal,Sceaux,"11,5",LSS (ou B/L),"{'ENS Ulm': 2, 'ENS Paris-Saclay': 1, 'Edhec': 1, 'EM Lyon': 1, 'Skema': 1, 'Audencia': 2, 'Neoma': 1}"
10,Saint-Marc,Lyon 2e,"11,3",LSS (ou B/L),"{'Ensae': 2, 'Edhec': 1, 'EM Lyon': 1, 'Skema': 3, 'Audencia': 5, 'Neoma': 3, 'Grenoble EM': 1, 'Kedge': 1, 'TBS Education': 1}"
11,Montaigne,Bordeaux,"10,7",LSS (ou B/L),"{'Ensae': 4, 'ESCP': 1, 'Edhec': 1, 'Neoma': 1, 'TBS Education': 1}"
11,Saint-Sernin,Toulouse,"10,7",LSS (ou B/L),"{'ENS Paris-Saclay': 1, 'Edhec': 1, 'Neoma': 2, 'Kedge': 1}"
13,Carnot,Dijon,"10,6",LSS (ou B/L),"{'ENS Paris-Saclay': 1, 'Skema': 1, 'TBS Education': 2}"
13,Thiers,Marseille 1er,"10,6",LSS (ou B/L),"{'ENS Paris-Saclay': 1, 'Ensae': 1, 'Edhec': 1}"
15,Blanche de Castille,Nantes,"10,3",LSS (ou B/L),"{'Audencia': 1, 'Neoma': 1, 'Grenoble EM': 1}"
15,Claude Monet,Le Havre,"10,3",LSS (ou B/L),"{'Skema': 1, 'Audencia': 1}"
15,Stanislas,Cannes,"10,3",LSS (ou B/L),"{'Skema': 1, 'Neoma': 1, 'Kedge': 2}"
18,Notre-Dame de la Paix,Lille,"10,2",LSS (ou B/L),"{'Skema': 1, 'Neoma': 1, 'Kedge': 1}"
18,Pothier,Orléans,"10,2",LSS (ou B/L),"{'Ensae': 1, 'Grenoble EM': 1}"
18,Saint-Just,Lyon 5e,"10,2",LSS (ou B/L),"{'Skema': 1, 'Audencia': 1, 'Neoma': 1}"
21,Albert Châtelet,Douai,"10,1",LSS (ou B/L),"{'Skema': 1, 'Grenoble EM': 1}"
21,Alphonse Daudet,Nîmes,"10,1",LSS (ou B/L),{'Neoma': 1}
21,Ambroise Brugière,Clermont-Ferrand,"10,1",LSS (ou B/L),"{'Neoma': 1, 'Montpellier BS': 1}"
21,Bellepierre,Saint-Denis,"10,1",LSS (ou B/L),"{'Kedge': 1, 'Montpellier BS': 1}"
21,Faidherbe,Lille,"10,1",LSS (ou B/L),"{'Ensae': 1, 'Rennes SB': 2}"
21,Henri IV,Béziers,"10,1",LSS (ou B/L),"{'Skema': 2, 'Neoma': 1, 'TBS Education': 2, 'Rennes SB': 1, 'Montpellier BS': 2}"
21,Saint-François-Xavier,Vannes,"10,1",LSS (ou B/L),{'Neoma': 1}
28,Fustel de Coulanges,Strasbourg,10,LSS (ou B/L),{}
28,Jacques Amyot,Melun,10,LSS (ou B/L),{'Inseec': 1}
1,Sainte-Geneviève,Versailles,20,MP,"{'ENS Ulm': 4, 'ENS Paris-Saclay': 1, 'Ecole polytechnique': 44, 'Mines Paris': 5, 'CentraleSupélec': 23, 'Ponts ParisTech': 6, 'Télécom Paris': 2, 'Ecole centrale de Lyon': 4, 'Isae-Supaero': 1, 'Ensae': 3, 'Centrale Nantes': 3, 'Ecole centrale de Lille': 1, 'Mines Saint-Etienne (via concours Mines-Ponts)': 1, 'Télécom SudParis': 1, 'Arts et Métiers': 2, 'ESTP': 1, 'Centrale Méditerranée': 2}"
2,Aux Lazaristes,Lyon 5e,"18,6",MP,"{'ENS Paris-Saclay': 1, 'Ecole polytechnique': 6, 'Mines Paris': 3, 'CentraleSupélec': 7, 'Ponts ParisTech': 1, 'Télécom Paris': 1, 'Ensta Paris': 1, 'Ecole centrale de Lyon': 2, 'Isae-Supaero': 1, 'Ensae': 2, 'Ecole centrale de Lille': 1, 'ESTP': 1}"
3,Louis Le Grand,Paris 5e,"17,9",MP,"{'ENS Ulm': 19, 'ENS de Lyon': 6, 'ENS Paris-Saclay': 3, 'Ecole polytechnique': 39, 'Mines Paris': 2, 'CentraleSupélec': 16, 'Ponts ParisTech': 2, 'Télécom Paris': 3, 'Ensta Paris': 2, 'Ecole centrale de Lyon': 1, 'Isae-Supaero': 2, 'Ensae': 1, 'Centrale Nantes': 1, 'Ecole centrale de Lille': 1, 'IMT Atlantique': 1, 'Mines Nancy': 1, 'Ensimag': 2, 'Télécom SudParis': 1, 'Arts et Métiers': 2, 'Centrale Méditerranée': 1}"
4,Henri IV,Paris 5e,"17,8",MP,"{'ENS Ulm': 1, 'ENS de Lyon': 2, 'ENS Paris-Saclay': 4, 'ENS Rennes': 1, 'Ecole polytechnique': 20, 'Mines Paris': 4, 'CentraleSupélec': 17, 'Télécom Paris': 4, 'Ecole centrale de Lyon': 3, 'Ensae': 2, 'ESPCI': 1, 'Centrale Nantes': 2, 'Ecole centrale de Lille': 2, 'Mines Saint-Etienne (via concours Mines-Ponts)': 1, 'Télécom SudParis': 1, 'Arts et Métiers': 2, 'Ecole Navale': 1}"
